63|5|0|3|21|23|36|38|40|0.7
345|5|0|15|20|23|29|39|43|0.51
475|5|0|1|9|14|16|22|29|0.58
481|5|0|3|23|24|29|40|41|0.61
552|5|0|10|20|32|35|39|40|0.63
723|5|0|10|20|30|33|35|36|0.63
723|5|0|10|20|30|33|35|44|0.63
6|4|0|11|13|14|27|40|42|0.7
63|4|0|14|21|23|36|38|40|0.63
63|4|0|7|21|23|36|38|40|0.7
63|4|0|18|21|23|36|38|40|0.58
63|4|0|21|23|30|36|38|40|0.58
64|4|0|3|13|14|15|21|26|0.6
64|4|0|13|14|15|21|26|40|0.63
64|4|0|13|14|15|17|21|26|0.55
64|4|0|13|14|15|21|26|31|0.6
64|4|0|2|13|14|15|21|26|0.6
67|4|0|7|10|14|15|19|36|0.6
67|4|0|7|10|15|16|19|36|0.6
67|4|0|7|10|15|19|31|36|0.56
67|4|0|2|7|10|15|19|36|0.56
67|4|0|7|10|15|19|26|36|0.6
69|4|0|5|15|16|19|39|43|0.66
79|4|0|3|13|24|27|29|32|0.51
86|4|0|4|17|37|39|41|45|0.66
88|4|0|1|20|24|30|37|43|0.65
90|4|0|17|19|29|33|35|44|0.51
126|4|0|7|22|27|29|35|43|0.51
129|4|0|3|23|25|28|42|45|0.65
131|4|0|8|10|14|17|21|44|0.73
132|4|0|3|5|10|17|41|45|0.66
149|4|0|11|18|21|25|41|42|0.65
164|4|0|5|6|9|10|38|39|0.73
164|4|0|5|9|10|38|39|41|0.7
166|4|0|9|12|21|35|36|39|0.73
166|4|1|9|12|14|21|36|39|0.73
166|4|0|9|12|18|21|36|39|0.63
166|4|0|8|9|12|21|36|39|0.73
166|4|0|9|12|21|34|36|39|0.73
180|4|0|4|15|20|21|30|34|0.58
180|4|0|2|4|15|21|30|34|0.73
183|4|0|2|24|28|33|34|42|0.73
201|4|1|3|14|24|26|38|44|0.73
204|4|0|3|11|13|35|40|45|0.66
206|4|0|1|2|3|25|29|41|0.66
212|4|0|5|11|12|18|19|31|0.56
215|4|1|4|7|15|40|43|44|0.7
231|4|0|10|19|37|39|44|45|0.7
234|4|0|11|13|19|21|26|37|0.51
236|4|0|1|8|13|19|21|37|0.56
245|4|0|21|27|31|32|37|38|0.6
258|4|0|14|27|35|38|40|45|0.63
258|4|0|14|27|33|35|38|40|0.63
258|4|0|3|14|27|35|38|40|0.73
258|4|0|4|14|27|35|38|40|0.73
